Date,Song,Artist,Rank,Last Week,Peak Position,Weeks in Charts,Image URL,Year
2021-03-31,Lifestyle,Jason Derulo Featuring Adam Levine,50,33.0,28,4.0,https://charts-static.billboard.com/img/2021/02/jason-derulo-7zx-lifestyle-01v-180x180.jpg,2021
2014-11-19,Lifestyle,Rich Gang Featuring Young Thug & Rich Homie Quan,50,44.0,34,7.0,https://charts-static.billboard.com/img/2014/07/young-thug-bgd-lifestyle-w2l-180x180.jpg,2014
2023-03-29,Lift Me Up,Rihanna,39,7.0,3,21.0,https://charts-static.billboard.com/img/2022/11/rihanna-87k-liftmeup-76v-180x180.jpg,2023
2017-11-22,Light It Up,Luke Bryan,45,20.0,3,,,2017
2019-05-08,Light It Up,Marshmello| Tyga & Chris Brown,28,28.0,1,,,2019
2017-04-12,Light My Body Up,David Guetta Featuring Nicki Minaj & Lil Wayne,36,36.0,1,,,2017
2020-04-29,Light Of Love,Florence + The Machine,28,28.0,1,,,2020
2009-02-11,Light On,David Cook,39,25.0,8,16.0,,2009
2022-05-04,Light Switch,Charlie Puth,49,31.0,3,,https://charts-static.billboard.com/img/2022/02/charlie-puth-m2q-lightswitch-5xj-180x180.jpg,2022
2011-06-08,Light Up The World,Glee Cast,17,17.0,1,,,2011
2011-11-02,Lighters,Bad Meets Evil Featuring Bruno Mars,39,29.0,2,19.0,,2011
2025-09-17,Lights,BTS,18,18.0,2,,https://charts-static.billboard.com/img/2019/07/bts-430-lights-1m7-180x180.jpg,2025
2022-07-20,Lights,Ellie Goulding,48,5.0,43,,,2022
2006-03-15,Lights And Sounds,Yellowcard,50,49.0,26,8.0,,2006
2016-07-20,Lights Come On,Jason Aldean,44,49.0,10,6.0,,2016
2018-03-21,Lights Down Low,MAX Featuring gnash,45,43.0,15,10.0,,2018
2019-10-23,Lights Up,Harry Styles,3,3.0,1,,https://charts-static.billboard.com/img/2017/04/harry-styles-6jk-180x180.jpg,2019
2007-06-27,Like A Boy,Ciara,44,42.0,29,14.0,,2007
2011-02-16,Like A G6,Far*East Movement Featuring Cataracs & Dev,42,34.0,1,26.0,,2011
2010-05-05,Like A Prayer,Glee Cast Featuring Jonathan Groff,10,10.0,1,,,2010
2024-08-21,Like A Prayer,Madonna,16,,16,2.0,https://charts-static.billboard.com/img/2010/02/madonna-yze-likeaprayer-c5u-180x180.jpg,2024
2022-05-18,Like A Prayer,Miley Cyrus,49,41.0,41,2.0,,2022
2019-07-31,Like A Rodeo,Kane Brown,47,6.0,6,2.0,,2019
2007-02-28,Like A Star,Corinne Bailey Rae,44,44.0,1,,,2007
2015-09-23,Like A Wrecking Ball,Eric Church,41,44.0,30,21.0,,2015
2023-07-05,Like Crazy,Jimin,4,1.0,7,,,2023
2022-08-31,Like I Love Country Music,Kane Brown,45,20.0,12,16.0,https://charts-static.billboard.com/img/2022/05/kane-brown-ag5-likeilovecountrymusic-c6v-180x180.jpg,2022
2017-11-08,Like I Loved You,Brett Young,48,49.0,48,2.0,,2017
2016-03-30,Like I Would,Zayn,31,31.0,1,,https://charts-static.billboard.com/img/2016/03/zayn-ge4-likeiwould-2lu-180x180.jpg,2016
2016-04-06,Like I'm Gonna Lose You,Meghan Trainor Featuring John Legend,48,6.0,35,,,2016
2020-04-08,Like It Is,Kygo| Zara Larsson & Tyga,15,15.0,1,,,2020
2019-11-20,Like It's Christmas,Jonas Brothers,7,7.0,1,,https://charts-static.billboard.com/img/2019/11/jonas-brothers-8dr-likeitschristmas-y69-180x180.jpg,2019
2013-04-24,Like Jesus Does,Eric Church,47,67.0,47,2.0,,2013
2023-09-20,Like My Dog,Jimmy Buffett,28,28.0,1,,,2023
2011-06-15,Like My Mother Does,Lauren Alaina,36,11.0,11,2.0,,2011
2024-05-15,Like That,Future| Metro Boomin & Kendrick Lamar,16,2.0,5,,,2024
2018-06-06,Like That,Kris Wu,49,11.0,11,2.0,,2018
2007-07-18,Like This,Kelly Rowland Featuring Eve,34,66.0,34,6.0,https://charts-static.billboard.com/img/2007/06/kelly-rowland-84w-likethis-xau-180x180.jpg,2007
2007-08-15,Like This,Mims,46,42.0,28,9.0,,2007
2005-03-23,Like Toy Soldiers,Eminem,49,47.0,25,13.0,,2005
2005-11-30,Like We Never Loved At All,Faith Hill,43,68.0,43,4.0,,2005
2024-03-13,Like What (Freestyle),Cardi B,3,3.0,1,,https://charts-static.billboard.com/img/2024/03/cardi-b-84g-likewhatfreestyle-q8y-180x180.jpg,2024
2008-03-05,Like Whoa,Aly & AJ,40,36.0,23,5.0,,2008
2005-11-30,Like You,Bow Wow Feat. Ciara,50,37.0,14,15.0,,2005
2007-12-05,Like You'll Never See Me Again,Alicia Keys,49,37.0,37,2.0,,2007
2022-10-12,Likkle Miss (Remix),Nicki Minaj & Skeng,18,18.0,1,,,2022
2021-10-06,Lil Bit,Nelly & Florida Georgia Line,32,30.0,3,39.0,https://charts-static.billboard.com/img/2020/11/nelly-yua-lilbit-mdq-180x180.jpg,2021
2024-04-24,Lil Boo Thang,Paul Russell,14,2.0,29,,https://charts-static.billboard.com/img/2023/09/paulrussell-4je-lilboothang-edj-180x180.jpg,2024
2010-05-12,Lil Freak,Usher Featuring Nicki Minaj,49,48.0,31,8.0,,2010
2023-06-21,Lilith (Diablo IV Anthem),Halsey & SUGA Of BTS,49,5.0,5,2.0,https://charts-static.billboard.com/img/2023/06/halsey-m8j-lilithdiabloivanthem-o28-180x180.jpg,2023
2018-01-24,Linger,The Cranberries,12,12.0,1,,https://charts-static.billboard.com/img/2015/07/the-cranberries-7lu-linger-mxf-180x180.jpg,2018
2020-08-05,Lion King On Ice,J. Cole,45,47.0,45,2.0,,2020
2007-08-15,Lip Gloss,Lil Mama,42,35.0,9,9.0,,2007
2015-04-15,Lips Are Movin,Meghan Trainor,42,34.0,4,24.0,,2015
2021-06-30,Lips Of An Angel,Hinder,48,1.0,37,,,2021
2007-01-31,Listen,Beyonce,49,66.0,49,3.0,,2007
2010-10-06,Listen,Glee Cast,19,19.0,1,,,2010
2005-11-23,Listen To Your Heart,D.H.T.,45,42.0,9,25.0,,2005
2011-07-13,Little Bad Girl,David Guetta Featuring Taio Cruz & Ludacris,45,45.0,1,,,2011
2013-08-28,Little Bit Of Everything,Keith Urban,32,61.0,32,12.0,,2013
2017-06-28,Little Do You Know,Annie LeBlanc & Hayden Summerall,30,30.0,1,,,2017
2013-12-18,Little Drummer Boy,Pentatonix,19,19.0,1,,https://charts-static.billboard.com/img/2011/12/pentatonix-bsy-180x180.jpg,2013
2021-12-29,Little Drummer Boy (2020),for KING & COUNTRY,39,39.0,1,,,2021
2019-12-18,Little Drummer Boy (Live From Phoenix),for KING & COUNTRY,33,30.0,30,2.0,,2019
2023-05-24,Little Girl Gone,CHINCHILLA,31,9.0,3,4.0,https://charts-static.billboard.com/img/2023/05/chinchilla-gvd-littlegirlgone-1a8-180x180.jpg,2023
2011-03-02,Little Lion Man,Mumford & Sons,36,58.0,36,24.0,,2011
2010-10-27,Little Miss,Sugarland,45,45.0,1,,,2010
2016-05-11,Little Red Corvette,Prince,4,6.0,4,2.0,,2016
2015-05-06,Little Red Wagon,Miranda Lambert,35,35.0,2,,,2015
2013-05-22,Little Talks,Of Monsters And Men,42,38.0,23,46.0,,2013
2013-02-06,Little Things,One Direction,43,36.0,10,11.0,https://charts-static.billboard.com/img/2012/12/one-direction-3ht-littlethings-q4f-180x180.jpg,2013
2010-12-01,Liv Tonight,Nelly Featuring Keri Hilson,46,46.0,1,,,2010
2013-07-17,Live For The Night,Krewella,41,41.0,1,,,2013
2013-06-05,Live It Up,Jennifer Lopez Featuring Pitbull,38,25.0,25,3.0,,2013
2010-04-28,Live Like We're Dying,Kris Allen,45,41.0,18,23.0,,2010
2024-05-15,Live Like You Were Dying,Tim McGraw,23,23.0,10,22.0,,2024
2012-03-14,Live My Life,Far*East Movement Featuring Justin Bieber,8,8.0,1,,https://charts-static.billboard.com/img/2012/03/fareast-movement-tai-180x180.jpg,2012
2020-03-11,Live Off My Closet,Lil Baby Featuring Future,42,42.0,1,,https://charts-static.billboard.com/img/2017/11/lilbaby-kyx-180x180.jpg,2020
2013-01-09,Live While We're Young,One Direction,32,64.0,1,12.0,,2013
2009-03-25,Live Your Life,T.I. Featuring Rihanna,49,38.0,1,24.0,,2009
2023-01-11,Livin' On A Prayer,Bon Jovi,24,47.0,16,15.0,https://charts-static.billboard.com/img/2007/05/bon-jovi-on5-livinonaprayer-xpt-180x180.jpg,2023
2020-12-02,Livin' The Dream,Morgan Wallen,29,29.0,1,,https://charts-static.billboard.com/img/2016/08/morgan-wallen-z1m-180x180.jpg,2020
2020-05-06,Living In A Ghost Town,The Rolling Stones,4,4.0,1,,,2020
2021-02-03,Lo Vas A Olvidar,Billie Eilish & ROSALIA,33,33.0,1,,https://charts-static.billboard.com/img/2021/01/billie-eilish-lrt-lovasaolvidar-ytq-180x180.jpg,2021
2019-03-20,Lo/Hi,The Black Keys,28,28.0,1,,,2019
2010-11-03,Loca,Shakira Featuring El Cata or Dizzee Rascal,27,27.0,1,,,2010
2018-01-10,Location,Khalid,30,10.0,19,,https://charts-static.billboard.com/img/2016/07/khalid-zwo-180x180.jpg,2018
2015-12-02,Locked Away,R. City Featuring Adam Levine,39,30.0,1,17.0,,2015
2014-02-19,Locked Out Of Heaven,Bruno Mars,19,32.0,1,35.0,https://charts-static.billboard.com/img/2012/10/bruno-mars-uw0-lockedoutofheaven-ub7-180x180.jpg,2014
2004-11-17,Locked Up,Akon Featuring Styles P.,49,40.0,36,4.0,,2004
2008-10-08,Lolli Lolli (Pop That Body),Three 6 Mafia,47,39.0,13,20.0,,2008
2009-01-07,Lollipop,Lil Wayne Featuring Static Major,49,2.0,33,,https://charts-static.billboard.com/img/2008/04/lil-wayne-5az-lollipop-e7f-180x180.jpg,2009
2013-10-16,Lolly,Maejor Ali Featuring Juicy J & Justin Bieber,43,29.0,11,3.0,,2013
2007-01-24,London Bridge,Fergie,35,24.0,1,24.0,,2007
2005-07-20,Lonely,Akon,50,37.0,2,19.0,,2005
2019-10-09,Lonely,Diplo Presents Thomas Wesley With Jonas Brothers,19,19.0,1,,,2019
2021-02-10,Lonely,Justin Bieber & benny blanco,34,28.0,2,15.0,https://charts-static.billboard.com/img/2020/10/justin-bieber-f8k-lonely-m89-180x180.jpg,2021
2022-12-14,Lonely,RM,16,16.0,1,,,2022
2013-02-27,Lonely Boy,The Black Keys,41,70.0,41,7.0,,2013
2005-08-10,Lonely No More,Rob Thomas,49,39.0,3,24.0,,2005
2024-10-16,Lonely Road,mgk & Jelly Roll,8,8.0,3,8.0,https://charts-static.billboard.com/img/2024/08/mgk-ohm-lonelyroad-jv5-180x180.jpg,2024
2015-02-11,Lonely Tonight,Blake Shelton Featuring Ashley Monroe,40,44.0,26,4.0,,2015
2016-06-08,Lonesome; Broken And Blue,Adam Wakefield,12,12.0,1,,,2016
2020-09-23,Long Live,Florida Georgia Line,10,10.0,1,,https://charts-static.billboard.com/img/2020/09/florida-georgia-line-34o-longlive-ebp-180x180.jpg,2020
2017-05-10,Long Long Time,Brennley Brown,49,49.0,1,,,2017
2023-12-06,Long Long Time,Linda Ronstadt,14,4.0,4,,https://charts-static.billboard.com/img/2023/02/linda-ronstadt-tv1-longlongtime-x2p-180x180.jpg,2023
2020-10-07,Long Way,Sarahbeth Taite,16,16.0,1,,https://charts-static.billboard.com/img/2020/10/sarahbethtaite-000-longway-3q6-180x180.jpg,2020
2020-05-27,Long Way Home,Todd Tilghman,8,8.0,1,,,2020
2018-05-09,Look Alive,BlocBoy JB Featuring Drake,49,43.0,6,12.0,https://charts-static.billboard.com/img/2009/04/drake-bg5-180x180.jpg,2018
2019-11-06,Look At Her Now.,Selena Gomez,6,12.0,6,2.0,,2019
2011-09-14,Look At Me Now,Chris Brown Featuring Lil Wayne & Busta Rhymes,48,46.0,4,31.0,,2011
2018-12-19,Look Back At It,A Boogie Wit da Hoodie,35,35.0,1,,https://charts-static.billboard.com/img/2016/07/a-boogie-wit-da-hoodie-g68-180x180.jpg,2018
2019-07-17,Look What God Gave Her,Thomas Rhett,43,43.0,5,19.0,,2019
2018-10-17,Look What I Found,Lady Gaga,46,46.0,1,,,2018
2018-01-10,Look What You Made Me Do,Taylor Swift,40,1.0,12,,,2018
2005-05-04,Look What You've Done,Jet,44,36.0,31,16.0,,2005
2023-01-25,Looking For You,Chris Young,50,50.0,1,,https://charts-static.billboard.com/img/2023/01/chris-young-7hi-lookingforyou-89d-180x180.jpg,2023
2019-12-18,Lord Above,Fat Joe & Dre Featuring Eminem & Mary J. Blige,27,27.0,1,,https://charts-static.billboard.com/img/1993/07/fat-joe-ch0-180x180.jpg,2019
2021-08-18,Lose,KSI x Lil Wayne,7,7.0,1,,https://charts-static.billboard.com/img/2021/08/ksi-z67-lose-qd5-180x180.jpg,2021
2006-01-18,Lose Control,Missy Elliott,38,41.0,2,30.0,,2006
2015-02-18,Lose Control,Missy Elliott Featuring Ciara & Fat Man Scoop,18,18.0,1,,,2015
2025-09-17,Lose Control,Teddy Swims,9,10.0,1,113.0,https://charts-static.billboard.com/img/2023/07/teddyswims-vl5-losecontrol-zkp-180x180.jpg,2025
2018-10-10,Lose It,Kane Brown,49,49.0,6,8.0,,2018
2005-03-09,Lose My Breath,Destiny's Child,47,53.0,7,13.0,,2005
2024-05-22,Lose My Breath,Stray Kids Featuring Charlie Puth,8,8.0,1,,https://charts-static.billboard.com/img/2024/05/straykids-z1b-losemybreath-jno-180x180.jpg,2024
2010-05-26,Lose My Mind,Young Jeezy Featuring Plies,42,29.0,29,2.0,,2010
2020-06-10,Lose Somebody,Kygo & OneRepublic,34,34.0,1,,,2020
2020-10-28,Lose You,Jordan Davis,26,26.0,1,,https://charts-static.billboard.com/img/2020/10/jordan-davis-wxd-loseyou-iee-180x180.jpg,2020
2020-02-19,Lose You To Love Me,Selena Gomez,45,43.0,1,16.0,,2020
2022-10-19,Lose Yourself,Eminem,14,15.0,2,7.0,https://charts-static.billboard.com/img/2010/01/eminem-9fn-loseyourself-48q-180x180.jpg,2022
2011-04-06,Loser Like Me,Glee Cast,33,2.0,2,2.0,,2011
2025-09-17,Losers,Post Malone Featuring Jelly Roll,24,24.0,2,,https://charts-static.billboard.com/img/2015/06/post-malone-uhe-180x180.jpg,2025
2011-07-06,Losing My Religion,Dia Frampton,28,28.0,1,,,2011
2010-10-20,Losing My Religion,Glee Cast,31,31.0,1,,,2010
2023-08-02,Losing My Religion,R.E.M.,16,7.0,7,5.0,https://charts-static.billboard.com/img/2010/10/rem-vx6-losingmyreligion-64d-180x180.jpg,2023
2017-05-31,Losing Sleep,Chris Young,31,31.0,1,,,2017
2007-07-04,Lost,Faith Hill,40,40.0,1,,,2007
2023-05-10,Lost,Linkin Park,39,10.0,2,5.0,https://charts-static.billboard.com/img/2023/02/linkin-park-wbk-lost-5sj-180x180.jpg,2023
2021-03-24,Lost,NF Featuring Hopsin,25,25.0,1,,,2021
2016-08-17,Lost Boy,Ruth B,38,28.0,9,23.0,,2016
2021-06-16,Lost Cause,Billie Eilish,40,40.0,1,,https://charts-static.billboard.com/img/2017/02/billie-eilish-lrt-180x180.jpg,2021
2019-01-09,Lost In Japan,Shawn Mendes X Zedd,42,45.0,9,6.0,,2019
2019-01-23,Lost In The Fire,Gesaffelstein & The Weeknd,14,14.0,1,,,2019
2019-04-10,Lost In The Middle Of Nowhere,Kane Brown & Becky G,17,17.0,1,,,2019
2019-12-11,Lost In The Woods,Jonathan Groff,50,40.0,40,2.0,,2019
2007-08-08,Lost In This Moment,Big & Rich,48,46.0,35,14.0,,2007
2014-12-31,Lost Stars,Matt McAndrew & Adam Levine,27,27.0,1,,,2014
2014-12-31,Lost Without U,Chris Jamison & Adam Levine,18,18.0,1,,,2014
2007-05-02,Lost Without U,Robin Thicke,43,48.0,40,12.0,,2007
2009-02-25,Lost!,Coldplay,25,25.0,4,,,2009
2024-06-05,Lost!,RM,5,5.0,1,,https://charts-static.billboard.com/img/2024/06/rm-gq5-lost-2lt-180x180.jpg,2024
2012-05-09,Loud,Mac Miller,38,17.0,17,2.0,,2012
2020-03-04,Louder Than Bombs,BTS,8,8.0,1,,,2020
2023-07-05,Love,Keyshia Cole,40,40.0,4,,https://charts-static.billboard.com/img/2006/04/keyshia-cole-vxm-love-4ly-180x180.jpg,2023
2017-03-15,Love,Lana Del Rey,30,9.0,9,2.0,,2017
2021-10-27,Love Again,Dua Lipa,16,23.0,13,7.0,,2021
2021-09-15,Love All,Drake Featuring JAY-Z,30,30.0,1,,https://charts-static.billboard.com/img/2009/04/drake-bg5-180x180.jpg,2021
2012-12-26,Love And War,Tamar Braxton,47,12.0,12,2.0,,2012
2016-12-21,Love Can Build A Bridge,Sundance Head,31,31.0,1,,,2016
2022-05-11,Love Can Build A Bridge,The Judds,8,8.0,1,,,2022
2014-03-05,Love Don't Die,The Fray,33,47.0,33,4.0,,2014
2016-05-11,Love Drought,Beyonce,45,45.0,1,,,2016
2010-01-06,Love Drunk,Boys Like Girls,43,13.0,23,,,2010
2022-01-19,Love Grows (Where My Rosemary Goes),Edison Lighthouse,50,50.0,1,,https://charts-static.billboard.com/img/2022/01/edison-lighthouse-ut9-lovegrowswheremyrosemarygoes-hjz-180x180.jpg,2022
2015-12-09,Love In The Dark,Adele,26,26.0,1,,,2015
2022-09-28,Love In The Way,BLEU & Nicki Minaj,3,3.0,1,,https://charts-static.billboard.com/img/2022/10/yungbleu-n4i-loveintheway-ikg-180x180.jpg,2022
2008-07-23,Love In This Club,Usher Featuring Young Jeezy,46,39.0,1,20.0,https://charts-static.billboard.com/img/2008/03/usher-ba7-loveinthisclub-a99-180x180.jpg,2008
2008-06-18,Love In This Club; Part II,Usher Featuring Beyonce & Lil Wayne,46,35.0,18,4.0,,2008
2021-12-01,Love Is A Game,Adele,33,33.0,1,,,2021
2023-09-13,Love Is Alive,Gary Wright,47,47.0,1,,https://charts-static.billboard.com/img/2023/09/gary-wright-tlu-loveisalive-ams-180x180.jpg,2023
2023-08-30,Love Is Alive,Gwen Stefani & Blake Shelton,37,37.0,1,,,2023
2014-04-16,Love Is An Open Door,Kristen Bell & Santino Fontana,46,40.0,40,2.0,,2014
2008-02-20,Love Is Free,Sheryl Crow,45,45.0,1,,,2008
2018-04-18,Love Is Madness,Thirty Seconds To Mars Featuring Halsey,30,30.0,1,,,2018
2018-11-07,Love Lies,Khalid & Normani,44,27.0,12,25.0,https://charts-static.billboard.com/img/2016/07/khalid-zwo-180x180.jpg,2018
2020-05-20,Love Like That,Lauv,40,40.0,1,,https://charts-static.billboard.com/img/2017/01/lauv-jt5-180x180.jpg,2020
2022-04-27,Love Like That,Phillip Phillips,21,21.0,1,,https://charts-static.billboard.com/img/2022/04/phillip-phillips-zrl-lovelikethat-9bg-180x180.jpg,2022
2008-03-19,Love Like This,Natasha Bedingfield Featuring Sean Kingston,50,40.0,7,21.0,,2008
2011-01-12,Love Like Woe,The Ready Set,34,27.0,18,22.0,,2011
2009-03-11,Love Lockdown,Kanye West,46,41.0,2,24.0,,2009
2016-07-27,Love Make The World Go Round,Jennifer Lopez & Lin-Manuel Miranda,9,9.0,1,,,2016
2009-11-18,Love Me,Justin Bieber,33,22.0,22,2.0,,2009
2013-05-29,Love Me,Lil Wayne Featuring Drake & Future,47,47.0,3,18.0,https://charts-static.billboard.com/img/1999/05/lil-wayne-5az-180x180.jpg,2013
2015-10-28,Love Me,The 1975,23,23.0,1,,,2015
2014-03-12,Love Me Again,John Newman,40,31.0,25,8.0,,2014
2023-09-20,Love Me Again,V,35,3.0,2,,https://charts-static.billboard.com/img/2023/08/v-000-lovemeagain-pkn-180x180.jpg,2023
2019-12-04,Love Me Anyway,P!nk Featuring Chris Stapleton,32,4.0,3,9.0,,2019
2024-10-09,Love Me Back,Max McNown,22,22.0,1,,https://charts-static.billboard.com/img/2024/09/maxmcnown-0ht-lovemeback-bwa-180x180.jpg,2024
2023-11-08,Love Me Do,The Beatles,5,5.0,1,,https://charts-static.billboard.com/img/2010/12/the-beatles-dbn-lovemedo-2t3-180x180.jpg,2023
2015-02-25,Love Me Harder,Ariana Grande & The Weeknd,50,45.0,14,18.0,,2015
2022-10-19,Love Me Like I Am,for KING + COUNTRY With Jordin Sparks,38,38.0,1,,https://charts-static.billboard.com/img/2022/03/forkingcountry-mtc-lovemelikeiam-wft-180x180.jpg,2022
2022-10-19,Love Me Like You Do,Ellie Goulding,34,37.0,2,29.0,https://charts-static.billboard.com/img/2015/01/ellie-goulding-tg3-lovemelikeyoudo-ka0-180x180.jpg,2022
2024-04-17,Love Me Like You Mean It,Kelsea Ballerini,23,23.0,2,,,2024
2017-02-22,Love Me Now,John Legend,49,48.0,12,15.0,,2017
2006-11-29,Love Me Or Hate Me (F**k You!!!!),Lady Sovereign,27,30.0,19,6.0,,2006
2017-08-30,Love Me Or Leave Me Alone,Dustin Lynch,28,28.0,1,,,2017
2013-10-30,Love More,Chris Brown Featuring Nicki Minaj,46,51.0,28,9.0,,2013
2015-11-11,Love Myself,Hailee Steinfeld,40,34.0,17,10.0,,2015
2014-07-30,Love Never Felt So Good,Michael Jackson & Justin Timberlake,48,46.0,6,11.0,,2014
2021-11-17,Love Nwantiti (Ah Ah Ah),CKay,48,48.0,31,5.0,https://charts-static.billboard.com/img/2021/03/ckay-eoq-180x180.jpg,2021
2022-02-23,Love Of My Life (Marry Me),Jennifer Lopez,47,47.0,1,,,2022
2017-05-10,Love On The Brain,Rihanna,44,44.0,11,25.0,https://charts-static.billboard.com/img/2016/02/rihanna-87k-loveonthebrain-4m0-180x180.jpg,2017
2017-02-08,Love On The Weekend,John Mayer,44,11.0,3,,,2017
2011-09-21,Love On Top,Beyonce,41,10.0,10,2.0,,2011
2020-08-26,Love On Top,The Bellas,17,17.0,1,,https://charts-static.billboard.com/img/2020/08/thebellas-000-loveontop-fy8-180x180.jpg,2020
2008-12-24,Love Remains The Same,Gavin Rossdale,47,72.0,19,23.0,,2008
2014-10-01,Love Runs Out,OneRepublic,50,46.0,11,20.0,,2014
2009-05-27,Love Sex Magic,Ciara Featuring Justin Timberlake,37,25.0,8,9.0,,2009
2023-07-19,Love Shack,The B-52s,40,39.0,39,2.0,https://charts-static.billboard.com/img/2010/11/the-b-52s-4i7-loveshack-ihe-180x180.jpg,2023
2017-12-20,Love So Soft,Kelly Clarkson,30,26.0,13,13.0,,2017
2013-09-25,Love Somebody,Maroon 5,47,39.0,11,17.0,,2013
2025-05-07,Love Somebody,Morgan Wallen,25,23.0,1,28.0,https://charts-static.billboard.com/img/2024/11/morgan-wallen-z1m-lovesomebody-2ex-180x180.jpg,2025
2021-05-26,Love Someone,Grace Kinstler,46,46.0,1,,https://charts-static.billboard.com/img/2021/05/gracekinstler-000-lovesomeone-34c-180x180.jpg,2021
2019-04-17,Love Someone,Lukas Graham,25,25.0,2,,,2019
2008-05-28,Love Song,Sara Bareilles,35,29.0,2,28.0,,2008
2009-07-01,Love Story,Taylor Swift,46,47.0,3,41.0,,2009
2021-02-24,Love Story (Taylor's Version),Taylor Swift,1,1.0,1,,,2021
2020-06-03,Love Struck,Boyz II Men,18,18.0,1,,,2020
2011-03-02,Love The Way You Lie,Eminem Featuring Rihanna,38,59.0,1,35.0,https://charts-static.billboard.com/img/2010/07/eminem-9fn-lovethewayyoulie-a5z-180x180.jpg,2011
2009-04-08,Love Who You Love,Rascal Flatts,36,36.0,1,,,2009
2018-09-12,Love Wins,Carrie Underwood,16,16.0,1,,,2018
2022-12-21,Love You Again,Chase Matthew,40,40.0,1,,https://charts-static.billboard.com/img/2022/12/chasematthew-iyz-loveyouagain-nqg-180x180.jpg,2022
2023-09-27,Love You Anyway,Luke Combs,47,4.0,17,,https://charts-static.billboard.com/img/2023/02/luke-combs-vjy-loveyouanyway-08v-180x180.jpg,2023
2019-12-04,Love You For A Long Time,Maggie Rogers,45,45.0,1,,https://charts-static.billboard.com/img/2016/06/maggie-rogers-xcy-180x180.jpg,2019
2015-11-25,Love You Goodbye,One Direction,39,39.0,1,,,2015
2012-02-29,Love You Like A Love Song,Selena Gomez & The Scene,21,37.0,16,35.0,,2012
2020-02-26,Love You Like I Used To,Russell Dickerson,28,28.0,1,,,2020
2015-07-29,Love You Like That,Canaan Smith,49,49.0,2,,,2015
2018-07-25,Love You Too Late,Cole Swindell,43,43.0,1,,,2018
2024-04-17,Love You; Miss You; Mean It,Luke Bryan,19,19.0,1,,https://charts-static.billboard.com/img/2024/04/luke-bryan-zck-loveyoumissyoumeanit-yvh-180x180.jpg,2024
2016-06-15,Love Yourself,Justin Bieber,43,44.0,1,28.0,,2016
2022-05-25,Love's Train,Silk Sonic (Bruno Mars & Anderson .Paak),29,29.0,1,,https://charts-static.billboard.com/img/2022/02/silksonicbrunomarsandersonpaak-qd5-lovestrain-xc3-180x180.jpg,2022
2018-03-07,Love.,Kendrick Lamar Featuring Zacari,49,38.0,9,15.0,,2018
2009-09-09,LoveGame,Lady Gaga,41,29.0,2,20.0,,2009
2007-10-31,LoveStoned,Justin Timberlake,48,36.0,17,15.0,,2007
2009-01-14,Lovebug,Jonas Brothers,50,41.0,32,15.0,,2009
2019-01-09,Lovely,Billie Eilish & Khalid,48,30.0,30,3.0,https://charts-static.billboard.com/img/2018/05/billie-eilish-lrt-lovely-hww-180x180.jpg,2019
2021-02-03,Lovely Day,Bill Withers,32,17.0,5,12.0,https://charts-static.billboard.com/img/1978/12/bill-withers-6fh-lovelyday-v8q-180x180.jpg,2021
2020-02-26,Lover,Taylor Swift,33,32.0,1,27.0,https://charts-static.billboard.com/img/2019/08/taylor-swift-vug-lover-b71-180x180.jpg,2020
2010-08-18,Lover; Lover,Jerrod Niemann,46,37.0,32,14.0,,2010
2005-02-16,Lovers And Friends,Lil Jon & The East Side Boyz Featuring Usher & Ludacris,42,42.0,1,,,2005
2020-10-14,Lovesick Girls,BLACKPINK,9,9.0,1,,https://charts-static.billboard.com/img/2016/08/blackpink-l5z-180x180.jpg,2020
2024-05-08,Lovin On Me,Jack Harlow,20,1.0,24,,https://charts-static.billboard.com/img/2023/11/jackharlow-i43-lovinonme-pf2-180x180.jpg,2024
2020-10-21,Lovin' On You,Luke Combs,49,17.0,9,,https://charts-static.billboard.com/img/2019/06/luke-combs-vjy-lovinonyou-c87-180x180.jpg,2020
2015-08-26,Loving You Easy,Zac Brown Band,49,49.0,49,2.0,,2015
2022-06-15,Low,Flo Rida Featuring T-Pain,19,14.0,1,56.0,,2022
2016-05-04,Low Life,Future Featuring The Weeknd,50,40.0,9,9.0,,2016
2014-07-16,Loyal,Chris Brown Feat. Lil Wayne & Tyga,41,23.0,18,,,2014
2020-09-16,Loyal Brave True,Christina Aguilera,24,24.0,2,,https://charts-static.billboard.com/img/2020/03/christina-aguilera-l5y-loyalbravetrue-9na-180x180.jpg,2020
2017-05-03,Loyalty.,Kendrick Lamar Featuring Rihanna,43,43.0,1,,,2017
2020-01-01,Lucid Dreams,Juice WRLD,33,50.0,13,32.0,https://charts-static.billboard.com/img/2018/06/juice-wrld-as8-luciddreams-232-180x180.jpg,2020
2020-04-01,Lucille,Kenny Rogers,26,26.0,1,,,2020
2017-12-20,Lucky,Addison Agen,25,25.0,1,,,2017
2010-10-27,Lucky,Glee Cast,13,13.0,1,,,2010
2009-05-20,Lucky,Jason Mraz & Colbie Caillat,49,48.0,27,18.0,,2009
2018-09-26,Lucky You,Eminem Featuring Joyner Lucas,28,36.0,5,3.0,https://charts-static.billboard.com/img/2017/07/joyner-lucas-urv-180x180.jpg,2018
2024-05-29,Lunch,Billie Eilish,15,15.0,1,,https://charts-static.billboard.com/img/2017/02/billie-eilish-lrt-180x180.jpg,2024
2016-08-17,Lush Life,Zara Larsson,40,40.0,1,,,2016
